,Smiles,aug-cc-TDDFT,GP_aug-cc-TDDFT,aug-cc-IP,aug-cc-EA,TDDFT energy,DZP_IP,DZP_EA,RS-TDDFT,ID,xTB_IP,xTB_EA,xTB_opticalgap,xTB_osc_strength,xTB_GSolv,fp,n_rings,DZP_callibrated_IP,DZP_callibrated_EA,DZP_Callibrated_Opticalgap,aug-cc-callibrated_IP,aug-cc-callibrated_EA,aug-cc-callibrated_opticalgap,GP-aug-cc-callibrated_opticalgap,RS-callibrated_opticalgap
99,c1cc2ccc3cccc4ccc(c1)c2c34,3.6033165396945264,3.653144110859357,-6.411927348991951,-0.9515997241937325,3.640011828049234,-6.358397540752766,-0.8063768233587043,4.016074291011786,73863,-6.1715,-2.0405,3.747,0.0029,-0.465,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257110DC650>,4,-6.474928398102076,-0.6588486866508807,3.6314601914793876,-6.492707267200883,-1.059709314273922,3.576809777156968,3.5605746821265813,4.0538919522708525
80,c1ccc2c(c1)ccc1ccccc12,3.945009114315082,3.9453214207187015,-6.87936641797038,-0.4747439262880757,3.987710094070679,-6.818466195994513,-0.2799180367110612,4.348320196899922,75598,-6.5869,-1.4899,3.948,0.0,-0.424,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025719275998>,3,-6.886094739086865,-0.0841537005389481,3.838528484601426,-6.93987564616461,-0.6076576209228801,3.7627816413652737,3.7445200091712465,4.240042509033613
76,O=C1c2ccccc2-c2ccccc21,3.069956521181471,3.131111876878773,-7.364877226498886,-1.6737156698699942,3.1509500993520363,-7.290853345388035,-1.3990714303229193,3.551800073676986,78929,-7.1426,-2.7229,2.969,0.0106,-0.552,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025619DCFF48>,2,-7.43613117549815,-1.3711114155335224,2.8299719723304047,-7.5380736918799265,-1.619970984347934,2.8569783823606403,2.848587296849221,3.333368901716484
18,c1ccc2c(c1)c1ccccc1c1ccccc21,3.95938483692891,3.9585691137058014,-6.910564883445728,-0.5169252692620098,3.985309636616497,-6.847166229790694,-0.313161089414667,4.436756856938193,81018,-6.6105,-1.5331,3.945,0.0,-0.53,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002561A3A4030>,4,-6.9094542134422845,-0.12924418982342933,3.8354379130622904,-6.965280493886189,-0.6431255343859477,3.760005941899478,3.7417745565287888,4.237264142514766
72,c1ccc2c(c1)ccc1cccnc12,3.891582303466058,3.902140192933393,-7.057058089421601,-0.7602071127958638,3.952007865602138,-6.999027111611466,-0.5318988654649501,4.338152546982533,82663,-6.8691,-1.8178,4.001,0.0296,-0.473,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002561A4F8C00>,3,-7.165418623116494,-0.42640303934407453,3.8931285817928094,-7.243657342225187,-0.8768689363057474,3.8118189985943296,3.793023005854666,4.289126984199914
130,c1ccc2c(c1)cnc1ccccc12,3.989311164350054,3.9967775495094084,-7.318912931153031,-0.8412068363652561,4.02688694775659,-7.254647420184918,-0.6157156215377831,4.394356340261033,87956,-7.0479,-1.9408,3.994,0.0207,-0.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002561AF00C70>,3,-7.342396335605854,-0.5547856824457231,3.885917248201494,-7.4361313580141,-0.977853967693648,3.8053423665074733,3.7866169496889315,4.28264412898927
16,c1cnc2c(c1)ccc1cccnc12,4.007994110696703,3.928772730274013,-7.3994077823279865,-0.8374628298067036,4.0663775220199385,-7.3335042069261736,-0.5442552985843672,4.4343278685997785,93249,-7.2102,-2.0140000000000002,4.136,0.002,-0.5820000000000001,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002561F851810>,3,-7.50304221221113,-0.6311890115110945,4.03220430105388,-7.610843509929874,-1.0379523766171792,3.9367254745551317,3.9165683747652618,4.414153477548037
20,c1ccc2c(c1)nnc1ccccc12,2.926804678364068,2.840184021683839,-7.48590999816421,-1.375556561493514,2.889598113082654,-7.387531284531297,-1.1234524732673745,3.2180895039897104,95338,-7.1928,-2.6312,2.838,0.005,-0.493,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002561F8C6880>,3,-7.4858195489151855,-1.2753985019366023,2.6950170151215143,-7.592112817118201,-1.5446837698904503,2.735772839020899,2.7287025314619022,3.2120468970601572
140,c1ccc2c(c1)ccc1ncccc12,3.916204032514832,3.9304504834092837,-7.146157592691423,-0.8064918403210317,3.9787876429141686,-7.080547983081043,-0.5567343598680236,4.365390078254115,97427,-6.882000000000001,-1.8601,3.992,0.0276,-0.467,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002561F937340>,3,-7.178187149353143,-0.47055414343512925,3.883856867175404,-7.257543890344186,-0.911597934905001,3.8034919001969425,3.7847866479272927,4.280791884643373
95,c1cnc2ccc3ncccc3c2c1,4.055526822704529,4.053273664595906,-7.530395892758364,-0.967631611406071,4.102115697582138,-8.117309457266344,-0.7404580146789013,4.45703175550144,102720,-7.2463,-2.1459,4.121,0.0109,-0.4970000000000001,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025620F36F80>,3,-7.538774289509037,-0.7688611304144068,4.016751443358205,-7.649704315131102,-1.1462444549916841,3.922846977226154,3.9028411115529735,4.400261644953801
