,SMILES,UMAP_0,UMAP_1,global_cluster
144,CC(C)(C1=CC=CC=C1)C2=CC=CC=C2,3.8506021,-2.1055443,-1
145,CC(=CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,3.6313658,-2.0707839,-1
146,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,3.8988776,-1.9188769,-1
147,C1=CC=C(C=C1)CCCCC2=CC=CC=C2,4.944642,-0.17415665,-1
148,C1=CC=C(C=C1)CC=CCC2=CC=CC=C2,4.6220264,-1.17607,2709
149,CCN=C=NCCCN(C)C,8.798061,2.7835999,-1
150,CCN=C=NCCC[N+](C)(C)C,8.988154,1.5684212,-1
151,CCCCN=C=NCCCN(C)C,8.893442,2.921186,-1
152,CN(C)CCCN=C=NCCCN(C)C,8.918222,2.7776115,-1
153,CCC(N=C=NCC)N(C)C,8.90861,2.5220919,-1
154,C(C(F)(F)F)(C(F)(F)F)O,10.048454,1.0610198,-1
155,C(C(C(F)(F)F)(F)F)(C(F)(F)F)O,9.981849,0.8802428,-1
156,C(C(F)F)(C(F)(F)F)O,9.974284,1.0300053,-1
157,C(C(F)F)(C(F)F)O,10.178807,0.94038904,-1
158,C(C(C(F)(F)F)O)F,9.5799465,1.6142277,-1
159,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,-0.56103283,2.4411862,4937
160,CC1=C2C(=CC=C1)N=CC=N2,-0.9314342,2.7882664,-1
161,CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C,-0.9085985,2.6250236,-1
162,C1=CC=C2C(=C1)C=C(C=N2)N,-0.20787053,2.2494981,-1
163,C1=CC2=C(C(=C1)N)N=CC=C2,-0.7507504,2.1054575,-1
164,CC1=C2C=CC3=C(C2=NC=C1)N=CC=C3,-1.0294685,2.538115,-1
165,CC1=CC2=C(C=CC=N2)C=C1,-0.7062323,2.7127979,-1
166,CC1=CC2=NC=CN=C2C=C1,-0.6407854,2.8023996,-1
167,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,-1.2823218,2.1808336,3568
168,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,-0.8915227,4.365229,-1
169,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,-1.3826677,2.531218,-1
170,C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3,-0.7180592,4.2560344,-1
171,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC5=C4C3=CC=C5,-1.2559098,3.175132,-1
172,C1=CC=C2C(=C1)C=C3C4=CC=CC=C4C5=C3C2=CC6=CC=CC=C65,-1.3106679,2.4318228,-1
173,C1CC2=C3C1=CC=CC3=CC4=C2C=CC5=CC=CC=C54,-1.3028752,3.277535,1418
174,C1=CC2=C3C(=C1)C4=CC=CC5=C4C3=C(C=C2)C=C5,-0.7882782,4.617947,-1
175,CC1C=CC=C(N1)C,2.8603363,7.6487303,-1
176,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,-0.96391284,3.6873863,-1
177,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,-1.4642694,2.3156245,-1
178,C1=CC=C2C=C3C=CC=CC3=CC2=C1,-1.2837676,2.686495,-1
179,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,-1.5139271,1.9796984,-1
180,CC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4,-1.3537706,2.5351958,-1
181,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,-1.5224133,2.1763647,-1
