SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1
CC(C(C1=CC2=C(C=C1)OCO2)O)O,6454417,3.893,4.446,3.5393,4.705109,-0.3536999999999999,0.2591090000000005,0.0837,0.086329,0.0026290000000000063,3.4524357949918016,4.737118309278305
C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,1489,4.147,4.632,3.5258,4.730431,-0.6212000000000004,0.0984310000000006,0.051,0.043399,-0.007600999999999997,3.5093822842704343,4.720354877343771
C1=C(NC=N1)CC(C(=O)O)NC(=O)CN,7023107,4.852,5.396,4.2204,4.475286,-0.6316000000000006,-0.9207140000000003,0.005,0.001218,-0.003782,4.26739940937538,5.345546278808503
CC(=O)C(C1=CC=CC=C1)C(=O)C,233402,4.263,4.28,3.5434,4.062531,-0.7195999999999998,-0.21746900000000036,0.005,0.002779,-0.0022210000000000003,3.4270022126384787,4.252840383224366
CCCCC(CC)CO,7720,7.353,7.37,6.0043,6.244949,-1.3487,-1.125051,0.0047,0.000112,-0.004588,6.051998940109099,6.319953686066624
C[N+](C)(C)CC[N+](C)(C)C,25258,5.518,5.545,3.8843,0.6642,-1.6336999999999997,-4.8808,0.0454,0.10543,0.06002999999999999,3.3794664068868308,6.113442120224636
CC1=CC=CC=C1C2=NC3=CC=CC=C3O2,154899,3.53,4.35,2.8881,4.205607,-0.6418999999999997,-0.144393,0.7903,0.727954,-0.06234600000000001,2.976446809873936,4.336859863164311
COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,10607,3.861,4.421,3.476,4.477862,-0.38500000000000023,0.056861999999999746,0.106,0.012132,-0.093868,3.3811966145460337,4.663709181069126
C[Si](C)(C)[Si](C)(C)C#C,3298367,7.114,7.12,4.5419,5.634788,-2.5721,-1.4852119999999998,0.0032,0.019902,0.016701999999999998,4.792302403973926,5.934319115818763
C1=CC=C2C(=C1)C3=C(N2)C(=CC=C3)N,146468,3.218,3.829,3.1387,3.960335,-0.07929999999999993,0.13133499999999998,0.113,0.052349,-0.060651000000000004,2.9637096054650285,3.879076141577609
C1=CC(=CN=C1)N2C=CC=N2,11378567,3.849,4.847,3.4424,4.775216,-0.4066000000000001,-0.07178400000000007,0.6522,0.215018,-0.437182,3.1789816802858804,4.573579708545738
C1=CC(=CC=C1CCCC(=O)O)Cl,259740,4.929,4.953,3.6304,5.077641,-1.2986000000000004,0.12464099999999956,0.0016,0.006042,0.004442,3.6980152137186573,4.99293079334025
C1=CC=C2C(=C1)C=CC=C2C#N,6846,3.168,4.201,2.5285,4.026373,-0.6395,-0.1746269999999992,0.046,0.115647,0.069647,2.4883709972808545,4.1362114039245075
C1=CC=C2C=C(C=CC2=C1)C3=NC=C(N3)CCN,10331725,3.13,3.927,2.4621,3.684514,-0.6678999999999999,-0.24248599999999998,0.2142,0.180995,-0.03320500000000001,2.499365865538501,3.71008317731773
CC1=C(C(=CC=C1)C(=C)C2=CN=CN2)C,10845647,3.419,4.762,2.828,4.404716,-0.5910000000000002,-0.35728399999999993,0.4773,0.115704,-0.36159600000000003,2.6373423831801253,4.652828902387489
C[Si]1(C2=CC=CC=C2C3=CC=CC=C31)C,139544,3.82,4.69,2.9468,4.233131,-0.8731999999999998,-0.4568690000000002,0.1996,0.078472,-0.121128,3.046165550011261,4.599984994357838
CC1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,725982,3.587,4.322,2.8791,4.13118,-0.7079,-0.19082000000000043,0.7274,0.785108,0.05770799999999998,2.9053517700380644,4.123270817475423
C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3,7076,4.28,4.723,3.1457,4.473299,-1.1343,-0.24970099999999995,0.0,0.005762,0.005762,3.3830036304727957,4.5255838804361375
CC1(CCC2=CC=CC=C2N1)C,13495806,3.562,4.139,3.5159,4.363497,-0.04610000000000003,0.2244969999999995,0.0781,0.045413,-0.032687,3.2529538300345253,4.248096601423344
CC(C1=CC=C(S1)C#N)N,59460583,3.545,4.807,2.8762,4.494347,-0.6688000000000001,-0.31265300000000007,0.4015,0.232304,-0.169196,2.8928995351341285,4.638243520885778
CC(C1COC(O1)(C)C)O,53628362,6.95,6.957,6.3828,6.468769,-0.5672000000000006,-0.48823099999999986,0.0108,0.008675,-0.002125,6.451450822337342,6.620881690441738
CC1=CC(=CC=C1)C(=O)NCC(=O)O,99223,4.496,4.791,3.5282,4.69294,-0.9678000000000004,-0.09806000000000026,0.0148,0.032296,0.017495999999999998,3.4734099535563088,4.763993639923303
C(C(=O)O)NCl,161853,5.142,5.193,3.5908,4.539386,-1.5512000000000001,-0.6536139999999993,0.0143,0.008748,-0.005552,3.9741056303343907,4.665507665073108
C1CCC2=CCCC=C2C1,12568778,3.23,4.537,2.5914,4.511588,-0.6385999999999998,-0.025412000000000212,0.216,0.08482,-0.13118,2.3979009054846974,4.278822186999065
CC1=CCC(=CC1)C(C)C,7461,5.047,5.862,3.9978,5.45543,-1.0492,-0.4065700000000003,0.1305,0.002976,-0.127524,4.015147153227357,5.676278720001079
CSC1=CC=C(C=C1)N,66038,3.815,4.407,3.4776,4.666373,-0.33740000000000014,0.2593730000000001,0.0564,0.019144,-0.037256,3.6412992226053262,4.4591623254175445
C1=NC(=C(C(=O)N1)N)O,293729,2.436,3.84,2.6406,4.252343,0.20460000000000012,0.4123429999999999,0.3215,0.176295,-0.145205,2.7328286742055017,4.381327025720058
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-],11879,3.451,3.783,2.6875,3.362473,-0.7635000000000001,-0.4205269999999999,0.0257,0.011611,-0.014089,2.8234649915432004,3.431962424572119
C1=CC(=CC(=C1)N)C(=O)C2=CC=C(C=C2)N,148536,3.083,3.726,2.8564,3.558955,-0.22660000000000036,-0.1670449999999999,0.099,0.015123,-0.08387700000000001,2.8723345807947847,3.6668944822465948
C1=CC(=CC(=C1)F)NC(=S)N,2734799,3.727,3.944,3.4911,4.758078,-0.2359,0.8140780000000003,0.0001,0.158498,0.158398,3.5541453246729,4.390589483466158
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,2548,4.044,4.523,3.57,4.858117,-0.47399999999999975,0.33511700000000033,0.0568,0.052788,-0.004012000000000002,3.8138976089474292,4.8470722661435826
CC1=CC=C(C=C1)N=CC2=CC=CC=C2[N+](=O)[O-],794913,2.689,2.992,2.2349,2.753188,-0.45409999999999995,-0.2388119999999998,0.2273,0.132211,-0.095089,2.2757071630558428,2.8907053882616167
C1=CC=C2C(=C1)C=C(N2)C3=CC=CS3,2795653,2.912,4.007,2.4669,3.765573,-0.44510000000000005,-0.24142699999999984,0.9711,0.511857,-0.45924299999999996,2.4539379938074397,3.828804499085187
C1=CC(=O)N(C1=O)N=NN,20637221,1.875,2.201,2.8695,3.213277,0.9944999999999999,1.012277,0.0101,5.6e-05,-0.010043999999999999,2.3733002062877913,3.252594745097895
CC1=CC=CC=C1C(=O)OCCN(C)C,895559,4.342,4.617,3.4882,4.07908,-0.8537999999999997,-0.5379199999999997,0.0243,0.002782,-0.021518,3.449753585893494,4.5218828290009565
CCCOC(=O)C,7997,5.967,5.967,5.2533,5.814086,-0.7136999999999993,-0.152914,0.0036,0.001168,-0.002432,5.338650287163945,5.877679299783604
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)F,9547783,2.884,3.889,2.7344,3.554111,-0.14959999999999996,-0.334889,0.0001,0.001349,0.001249,2.4894170099973807,3.7601205986755453
CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,4041,2.686,3.159,2.9165,3.449234,0.23050000000000015,0.2902340000000003,0.1355,0.035111,-0.100389,2.3508222708117827,3.1279844268501025
C1=CN(C(=O)NC1=O)O,352974,3.297,4.538,3.1814,4.674613,-0.11560000000000015,0.13661299999999965,0.2798,0.171623,-0.108177,3.1028519115691218,4.418135312520606
