SMILES,xtbS1,xtbT1,S1err,T1err,S1fLerr
c1cc2sccc2o1,4.955,3.52,0.07099455627730818,-0.5267306953817306,0.0446017961123918
c1cc2nnsc2cn1,4.033,3.461,-0.27314877726552533,-0.6673781659269638,-0.1307315154310398
c1nncc2nsnc12,3.66,3.66,-0.4425624782327307,-0.7990648109339337,-0.12784509014038986
c1ccc2sncc2c1,4.51,3.663,-0.11652551120695949,-0.6153768650359717,-0.07016137656752013
c1ccc2snnc2c1,4.148,3.642,-0.12748966640342146,-0.6645128151963788,-0.10027524471957028
c1nncc2snnc12,3.739,3.739,-0.25381610558512874,-0.6821240298667821,-0.1070781350373998
c1cc2cnsc2cn1,4.429,3.476,-0.1765900505025033,-0.5699061460823109,-0.10334954123160049
c1nncc2sncc12,3.931,3.665,-0.23740067071432414,-0.6211429102944646,-0.11545150573451086
c1cc2nsnc2cn1,4.555,3.309,-0.5206836203253642,-0.8421722026978049,-0.14518754156032251
c1ccc2cscc2c1,3.607,2.345,-0.09136349300844344,-0.5668678331253612,-0.06138988085096253
c1cnc2cscc2n1,3.189,2.2,0.002693193843982472,-0.581248487925895,0.0015315082339353013
c1ccc2nonc2c1,3.905,2.607,-0.05116647333457678,-0.6603406792759027,-0.11681215984319868
c1nncc2nonc12,2.779,2.779,-0.06862065717483216,-0.576438844113985,-0.10533288066129935
c1cc2nonc2cn1,3.86,2.63,-0.14543294822979935,-0.6154997795194481,-0.10966786841657625
c1cc2nnoc2cn1,4.383,3.464,-0.1270662359760395,-0.6110603047650337,-0.0925736235684082
c1ccc2oncc2c1,4.675,4.06,0.021720006399100877,-0.5767225445987164,-0.04569838642216763
c1ccc2onnc2c1,4.384,3.637,0.049629561899425065,-0.6213127467180961,-0.07426211088118977
c1nncc2onnc12,3.386,3.386,-0.07877769505055358,-0.6045454025996284,-0.07987322660349111
c1cc2cnoc2cn1,4.762,3.866,-0.05617586508654433,-0.5239247406872906,-0.06698858747379309
c1nncc2oncc12,3.738,3.738,-0.09520724887945911,-0.5676285288784643,-0.08071181059157564
c1ccc2c(c1)c1ccccc1c1ncccc21,4.007,3.88,-0.1908955816505126,-0.7369716676792712,0.0015779327085782974
c1ccc2c(c1)c1ccccc1c1nccnc21,3.879,3.643,-0.15835274718964082,-0.7254600489450709,0.013096665498083148
c1cc2nnc3cccc4nnc(c1)c2c34,2.088,2.088,-0.263715799637282,-0.7943781654931906,-0.03430258790251785
c1cc2ccc3cccc4ncc(c1)c2c34,3.784,2.808,-0.12073739477638186,-0.6832472237170202,0.03298920267390972
c1cnc2cscc2c1,3.467,2.332,-0.10257651173576139,-0.6138890277398188,-0.05364927276725431
c1cc2cscc2cn1,3.558,2.353,-0.14217808256376938,-0.5686189022600712,-0.07335203939274498
c1nncc2cscc12,3.555,2.661,-0.13870809002023446,-0.614305669446473,-0.07900736825832995
c1ncc2cscc2n1,3.391,2.323,-0.12758475783716894,-0.5899274753634172,-0.07248856240300014
c1ccc2cocc2c1,3.664,2.301,0.014149898453798698,-0.5078332045477595,-0.0498486337447258
c1cnc2cocc2n1,3.215,2.101,0.15335623967837453,-0.4785380341782319,0.011262289644858184
c1cnc2cocc2c1,3.503,2.262,0.02181530838776043,-0.5222981639654464,-0.043535013347829186
c1cc2cocc2cn1,3.631,2.276,-0.0494867898848291,-0.5114138700641148,-0.05869978586786954
c1nncc2cocc12,3.326,2.565,-0.04011406843844089,-0.5569202082774611,-0.062250569613219654
c1ncc2cocc2n1,3.462,2.226,-0.012743188128969915,-0.5072959840919955,-0.06172402117148205
c1cc2cnc3cccc4cnc(c1)c2c43,3.802,2.905,-0.18272777757230346,-0.7451477252099382,0.002175227254428523
c1cc2cnc3cccc4ncc(c1)c2c34,3.764,2.904,-0.2040764216979988,-0.7273234522739819,-0.01302030255731203
c1cc2ccc3ccnc4ccc(c1)c2c34,3.811,2.859,-0.11553922158555374,-0.6959248699013569,0.052827689098948284
c1cc2ccc3nccc4ccc(n1)c2c43,3.822,2.932,-0.18201363963768483,-0.7795359047167114,0.031045691125642073
c1cc2ccc3ccnc4ccc(n1)c2c34,3.855,2.983,-0.18522264765479135,-0.7783904960089021,0.033826576362875026
c1nc2ccc3ncnc4ccc(n1)c2c34,3.163,3.163,-0.29448788236471446,-0.8636909275374501,-0.012487700981635734
c1ccc2cc3nsnc3cc2c1,3.356,2.059,-0.31473370897507197,-0.6745754282374398,-0.12703217899392266
c1cc2cc3nsnc3cc2cn1,3.402,2.115,-0.3972418320670198,-0.7239324626010432,-0.12827287252674716
c1nncc2cc3nsnc3cc12,3.417,2.381,-0.37537749070872356,-0.738263778372769,-0.13228182849109768
c1ccc2cc3nonc3cc2c1,2.703,1.414,-0.07082974370962881,-0.5564335071356352,-0.09029077622265941
c1cc2cc3nonc3cc2cn1,2.821,1.473,-0.16301882695457492,-0.6021909175752207,-0.08611181772629797
c1nncc2cc3nonc3cc12,2.891,1.726,-0.1408990343663004,-0.6207556322353174,-0.09588532470942349
c1ccc2cc3sncc3cc2c1,3.662,2.654,-0.1514654704216159,-0.5385086007174009,-0.08694490119825289
c1cc2cc3cnsc3cc2cn1,3.538,2.567,-0.1899636305598729,-0.5796659741078939,-0.08213297096458655
c1nncc2cc3sncc3cc12,3.526,2.713,-0.16763755974741765,-0.5878507529677887,-0.0844030719429403
