smiles,CID,S1,UMAP_0,UMAP_1,S1err,T1err,global_cluster,_merge
CC1CCOC1CC(=O)C(C)(C)C,73806746,4.271359,6.872600599999999,6.0746627,-0.3093068576637309,-0.9156449374047024,2350,left_only
C=CCN=C=NC1=CC=CC=C1,20026806,4.757322,4.05302,-1.4593161,0.295616113886018,-0.5935400668845051,2508,left_only
C1=CC(=CC=C1C(C(F)F)O)O,9793984,5.0157690000000015,3.8015487,-0.980351,0.2325430494005913,-0.6350494511384516,-1,left_only
C[N+]1=CC=CC=C1C2=CC3=CC=CC=C3N2,10830645,2.566665,-1.5584129999999998,2.7818909,1.5635576322286062,1.0351954304673798,-1,left_only
CC1=C(C(=C(C)[N+](=O)C)C(=C1C)C)C,20647676,0.67769,0.87795883,0.4906829000000001,0.3878922800074388,-0.5292878924420127,-1,left_only
CC(C)(COC1=CC=C(C=C1)C(=O)N)N,64538207,4.641629,2.2639165,-0.7710189000000001,0.0488944898507641,-0.6241253062035809,-1,left_only
CCC1(CC(=NC1=O)OC)C,68169888,4.310475,4.487113,8.039772,0.0345317166353027,-0.3489918183054829,-1,left_only
C=COCCCNCC1=CC=C(C=C1)C#N,28726052,4.347716,3.6877613,0.8015521,-0.2681760007480293,-0.9253701018990216,-1,left_only
CN(C[C@H]1CCCN1)C2=CN=CC=C2,10845400,4.256513,4.561113400000001,2.4656968,0.122455071218653,-0.0604273828666433,-1,left_only
CC1=CC=C(C=C1)[Se]/C=C/C(=O)O,13328257,4.344882,2.936219,-1.0721732,-0.6596059713126899,-0.6773546222987366,-1,left_only
CN(C1=CC=CC=C1O)C(F)(F)F,71646900,5.000577,1.9893218,-0.0121524639999999,0.4363698207576569,-0.3339661748326346,-1,left_only
CC(=O)NC1=CC=CC=C1SC(=O)C,306120,4.489463,1.2968087,1.0962125,0.047731867720188,-0.5820717639289861,-1,left_only
CC1=CC(=NC=C1)C(=O)CCC#C,63839734,3.5384300000000004,2.4537199,1.5526582,-0.2089152502456994,-0.6111523769798243,-1,left_only
CC1CCN(CC1)CCOC2=CC=CC(=C2)N,28300838,4.757447,4.216489,3.5217397000000004,0.2306290854982439,-0.3121820699092604,3218,left_only
CC(C)CC(CC(C)C)C(C)(C)C,57491445,7.332564,10.4082575,2.1157942000000003,-1.5351021571706158,-1.603393365893739,464,left_only
CC1=C(C=CC(=C1)C(=O)O)OC(C)(C)C,62701900,4.696006,0.5586557,0.3233059,0.1159846954174894,-0.6016701483671657,3706,left_only
CN1C=CC(=N1)C(=O)C2=CC=CC=C2OC,65195927,3.726985,1.9983488,1.4277543,-0.1043349109685157,-0.2620914651744354,-1,left_only
CC[N+]1=C(NC=C1)CNCC2=CC=CO2,51699714,5.117483999999998,5.131283,1.385072,2.806217589939089,2.0699313233635697,-1,left_only
CC1=CC(=CC=C1)C2=NC=C(S2)N,45788258,3.810259,0.48076293,2.9489365000000003,0.1237372817450942,-0.1293985736195414,-1,left_only
CC(=O)OCC1(CN(C1)C)C,59842475,5.3654980000000005,6.879611,7.722214,-0.4779149209956112,-0.6409723032501801,1656,left_only
COC1=CC=C(C=C1)OC(F)(F)F,2724973,4.989977,1.5950246,-0.5927824,0.344580834921074,-0.3083795372277846,-1,left_only
CCC1C(CCN1)C2=CC=C(C=C2)Cl,62353787,4.8146830000000005,2.6064527,5.809888,-0.0213672716510147,-1.2631397457282674,-1,left_only
CC1CCC(CC1)NC2=NC(=NS2)N,66279208,3.757225,3.2855287000000004,3.5495675,-0.2458778930620009,-0.3122056350843015,-1,left_only
CC(C)N(CCCl)C1CCCCC1,12841522,4.8604400000000005,8.921535,4.566423,-0.0562990343987196,-0.1309841792768806,-1,left_only
CC(C)C1(OCCO1)OC,48045,6.742117,7.288695,7.885271,-0.573912120550557,-0.6590461233386308,1918,left_only
C1C=CC2C1NNC2,20094650,5.173177,5.226833,7.441242699999999,-0.5865426803164361,-1.2680399562985918,2665,left_only
CC1=CC(=CC(=C1)OCC(=O)NCC#N)C,62400688,5.019311,1.672473,-1.1931226,0.3416138754592801,-0.7234894595888022,-1,left_only
CC1=C(C=CC=C1[N+](=O)[O-])NCC(C(C)C)N,64175949,3.052781,-1.3864546,0.20299523,0.2909874523152254,0.2942891982701808,972,left_only
CC1=CC=C(C=C1)C2=NN(C(=O)O2)C,14469215,4.348115,0.91797435,3.7272158,0.0076936895814059,-0.4112308356904946,-1,left_only
C[NH+](C)NC(=O)C1=CC=CC=C1,4276169,3.671922,4.2664676,-0.6996326999999999,1.900091327778968,1.0784338002819036,-1,left_only
COCCOCCN1C=CC(=C1)CNC2CC2,66405981,5.048278,4.442587400000001,2.7336257,-0.5603614522220213,-1.0344045025145705,-1,left_only
COC1=CC(=C(C=C1)CC=C)N,11309692,4.375475,-0.15818089,0.481168,0.13615673576036,-0.396680559188438,3291,left_only
CC(C)(CNC1CCCNC1)CN(C)C,61640060,4.88215,7.760830400000001,4.3643546,-0.5494515037343093,-0.5725353827480845,2104,left_only
