,SMILES,UMAP_0,UMAP_1
111,C1C2CC3CC1CC(C2)C3,0.4452345,-1.0582682
112,C1=CC(=CC(=C1)O)N=[N+]=[N-],2.0860837,-0.35803282
113,CCCC[N+](CCCC)(CCCC)CCCC,0.9527194,-1.7107605
114,C1=CC=C(C=C1)C(=O)N,3.9016707,-1.4001396
115,CN(C)C(=S)SSSC(=S)N(C)C,7.0909824,0.47740927
116,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.401154,-0.09626854
117,CC1=CC2=C(C=C1)NC3=NC4=CC=CC=C4N=C23,-1.4325916,3.0636973
118,CCCN(CCC)C1CC2=CC=CC=C2OC1,0.34632602,7.2353554
119,C1=CC=C(C=C1)C2=CC=C(S2)C3=CC=CC=C3,0.47211304,2.8920522
120,C1#CC#CC#CC#CC#CC#CC#CC#C1,1.3998489,1.2240859
121,CCCCCC(C)S,2.0431552,-2.221409
122,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,4.6583123,1.3261429
123,C1=CC2=CC(=O)NC=C2C(=C1)Cl,-0.62544763,2.1334457
124,C1CCC2=CC=CC=C2C(=O)CC1,0.65942854,6.42076
125,C1CCC(=O)C(=NNC2=CC=C(C=C2)Cl)C1,3.1296327,3.609089
126,CCCCC(C)CCC(=O)O,9.333815,1.9499279
127,C1=C(C=NC(=N1)C#N)O,1.4005082,2.1315012
128,C1=COC(=N1)F,1.8816246,2.4211264
129,C1CN1C(=O)NCCCCCCCCCCNC(=O)N2CC2,6.311283,3.3142753
130,CC1=CC=C(C=C1)N=NN(C)C,3.1483152,-0.6301763
131,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)Cl,-0.7263645,3.1449752
132,CNCCCNCCNCCCNC,7.8536983,2.6423192
133,CCCCCCOC(=O)C,7.717942,0.5708588
134,CN(C)C1=CC=C(C=C1)C(=C)C2=CC=CC=C2,3.5792437,-1.0945852
135,C1=CC2=C3C(=C1)C(=O)NC(=O)C3=C(C=C2)N,-0.50837225,4.3248763
136,COC(=O)C1=C(C(=CC=C1)O)O,0.18600619,1.0733052
137,C1=CC(=C(C(=C1N)F)F)F,0.41893038,1.4276044
138,CC(=NNC(=O)C1=CC=NC=C1)C,4.2961197,-0.38339242
139,C=CCN1C(=O)C=CC1=O,2.0803974,5.43193
140,C1CN(CCN1)C2=CC=CC3=C2C=CN3,-0.72950643,2.8766372
141,C1=CC=C(C=C1)C2=NC3=NON=C3N=C2,0.42095953,3.547
142,CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,7.884737,1.3919271
143,C1=CC(=C(C(=C1)C(=O)O)C(=O)O)C(=O)O,0.047552433,1.3710251
144,CSCSSC,8.699661,1.2062382
