SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_Lin_T1,xtb_Lin_S1
C1=CC=C(C=C1)C(=O)OC(=O)C2=CC=CC=C2,7167,4.254,4.661,3.4159,4.375414,-0.8380999999999994,-0.28558599999999945,0.0348,0.018122,-0.016678,3.418003995734243,4.619289956355202,3.586195486540365,4.529820053529356
CC1=CC=C(C=C1)OC,7731,4.24,4.762,3.6678,4.91315,-0.5722,0.15115000000000034,0.0417,0.033552,-0.008148000000000002,3.663727474939736,4.999975276999546,3.5740016900401845,4.6036964310211586
CC(=O)NC1=CC=C(C=C1)N,31230,3.849,4.331,3.296,4.361493,-0.5530000000000004,0.03049299999999988,0.0613,0.034402,-0.026898,3.4801020090031054,4.3814597924985215,3.272667657176971,4.273330628599519
CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=C2,13751,3.711,4.175,3.5464,4.108149,-0.16459999999999964,-0.06685099999999977,0.0425,0.015274,-0.027226000000000004,3.3888781762151785,4.210778672296888,3.1770787121679844,4.161527755825139
CC1=CCCC(C1)(C)C,79032,5.092,5.666,4.0026,5.615307,-1.0893999999999995,-0.050693000000000765,0.0145,0.004148,-0.010352,3.907153136731554,5.316829187846026,4.231552637781188,5.324882786692518
C1=CC=C(C=C1)S(=O)(=O)NCl,31382,5.146,5.161,3.6006,4.524007,-1.5453999999999999,-0.6369929999999995,0.0006,0.002908,0.002308,3.9398501884805057,5.322883652686513,4.271329893645332,4.927184012000654
CC#CC1=CC=C(S1)C#CC#CC=C,100448,2.905,4.004,1.8274,3.205828,-1.0776,-0.7981719999999997,1.8949,0.963335,-0.931565,1.8016192752105296,3.2419453087367724,2.554375946714201,4.0134126168126425
CC(C(N)N)O,17882627,6.436,6.445,5.6235,5.806798,-0.8125,-0.6382020000000006,0.0159,0.024842,0.008941999999999999,5.709007470076255,5.87778235642312,5.258474566934285,5.928678436636517
COC1=C(C=C(C=C1)Cl)Cl,11119,4.146,4.696,3.5183,4.728088,-0.6276999999999999,0.032087999999999894,0.053,0.047201,-0.005798999999999999,3.497662723019973,4.890068440914918,3.5034245696372746,4.557264024049956
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3C2=O,296675,2.297,2.511,2.1288,2.675118,-0.16820000000000013,0.16411799999999976,0.0044,0.004656,0.00025600000000000015,2.1596967509707583,2.797247343323098,2.086574809025952,2.850753999039067
CCCCC1=CC=C(C=C1)CO,578288,4.913,4.935,3.6717,5.162542,-1.2413000000000003,0.22754200000000058,0.0008,0.001513,0.000713,3.6266673703460794,5.106168237478806,4.0934670291503314,4.749089058178672
C1=C(C(=CC2=C1OC(O2)(F)F)N)N,3417861,3.219,3.918,3.3309,4.054418,0.11190000000000033,0.13641799999999993,0.153,0.019554,-0.133446,3.099691679300144,4.125840636780991,2.800808266642897,3.9597702153370866
CC(C)(C)OO,6410,6.413,6.441,4.4795,5.586547,-1.9335000000000004,-0.8544529999999995,0.0012,0.00089,-0.00030999999999999995,4.832210281069534,5.663274658940865,5.244303236853644,5.9188479590846805
C1=CC2=C(C(=C1)C#N)N=CC=C2,93183,3.41,4.249,2.6385,4.054452,-0.7715000000000001,-0.19454799999999928,0.0054,0.001153,-0.004247000000000001,2.6443929806936137,4.080730207568913,2.9463899494646704,4.21651100426207
C1=CC=C(C=C1)OP(=O)(C2=CC=CC=C2)C3=CC=CC=C3,15566,4.443,4.845,3.6194,4.567611,-0.8235999999999994,-0.27738899999999944,0.0303,0.001631,-0.028669,3.388516183477684,4.699464896467455,3.732500053140716,4.680281829754444
CCC1=CC=C(N1)CC,136602,4.572,4.864,3.8298,4.460009,-0.7422,-0.40399099999999954,0.0184,0.034684,0.016284,3.8933952469135242,4.660758560047422,3.829909852977243,4.688995082548837
COC(=O)C1=NC2=CC=CC=C2C=C1,421738,3.442,3.9,2.7098,3.88253,-0.7322000000000002,-0.017469999999999875,0.0165,0.001014,-0.015486000000000002,2.7022237830965397,3.8157627504790126,2.971409199127868,3.9457934418977456
C1=CC=C(C=C1)CCC(=O)OC2=C(C(=O)OC2=O)OC(=O)CCC3=CC=CC=C3,22097,2.66,3.591,2.9197,3.324552,0.25970000000000004,-0.266448,0.2069,4.7e-05,-0.206853,2.361641790009858,3.643774782917087,2.3756445715877117,3.708035612207998
C1C2=CC=CC=C2C3=C1C=C(C=C3)N(C4=CC=CC=C4)O,208267,2.969,3.628,2.8241,3.710106,-0.1448999999999998,0.08210600000000001,1.0754,0.446748,-0.628652,2.5836428427206326,3.5532601662745487,2.6056866178195572,3.730730630484645
C(C(C(=O)O)OCC(=O)O)C(=O)O,36681,5.634,5.644,4.7416,5.284725,-0.8924000000000003,-0.35927500000000023,0.0146,0.002536,-0.012064,4.695253776855863,5.3202438646137304,4.642353470666998,5.300885889892175
CC1CCC(=C(C)C)C=C1,102443,3.389,5.251,2.7262,4.93296,-0.6627999999999998,-0.31804000000000077,1.0113,0.178366,-0.8329340000000001,2.903634899659347,5.149243844424795,2.9178107858351043,4.9979957862366415
C1=CC2=CNC(=C2C=C1)S,53671171,2.276,3.247,2.3418,3.898266,0.0658000000000003,0.6512660000000001,0.1672,0.135415,-0.03178499999999998,1.9502391292663308,3.2888929399602276,2.082827530690637,3.4409101029540654
C1=CNC(=O)C(=C1)F,2783363,3.125,4.305,3.8335,5.071882,0.7084999999999999,0.7668819999999998,0.1854,0.079255,-0.106145,3.1052847617295405,4.474042223096825,2.728895765954165,4.260270844282912
C(C(C1C(=C(C(=O)O1)O)O)O)O,54675810,3.073,4.387,3.3438,5.059749,0.27079999999999993,0.6727490000000005,0.1814,0.008328,-0.173072,3.398408313403798,4.8279693742690455,2.674039543782866,4.317440681673082
CN(C)C1=CC=C(C=C1)C=CC2=CC=NC3=CC=CC=C23,13476,2.368,3.293,2.0498,3.078099,-0.31820000000000004,-0.21490100000000023,1.6472,0.78314,-0.86406,1.8609722377290732,2.7738565168925633,2.1462464043677145,3.4693504729206492
C1=C(OC(=C1)[N+](=O)[O-])CS,20623964,2.671,3.853,2.6592,3.556835,-0.011800000000000033,-0.29616500000000023,0.1833,0.038427,-0.14487299999999997,2.560649865514791,3.816371160418022,2.3778776600680613,3.9062844676544928
CN(C)C1=CC=C(C=C1)N(C)C,7490,3.101,3.75,3.1312,3.914276,0.030200000000000227,0.1642760000000001,0.0995,9e-06,-0.09949100000000001,3.4011245039853124,4.114209962412872,2.7065952836692135,3.8259198221945176
CC(C)C1CCC(C=C1)O,149853,5.36,6.066,4.0467,5.956535,-1.3133,-0.10946500000000015,0.0261,0.063145,0.03704500000000001,3.9673878743083697,5.654458627311086,4.433408324619589,5.628919009416121
C1=CC=C(C(=C1)CCC(=O)O)O,873,4.324,4.789,3.6903,5.015954,-0.6336999999999997,0.2269540000000001,0.0504,0.047893,-0.0025070000000000023,3.688100255188418,4.980628884115473,3.6398433030516273,4.630186574290407
C1=CC=C(C=C1)OC2=CC=CC=C2C(=O)N,3290567,4.085,4.539,3.3357,4.423724,-0.7492999999999999,-0.11527599999999971,0.0991,0.090438,-0.00866199999999999,3.501763273994227,4.439346703227617,3.4569338510001484,4.437962898968653
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,38853,4.029,4.565,3.5875,4.721035,-0.4415,0.15603499999999926,0.0629,0.065272,0.002371999999999999,3.577478269130416,4.6767557485884925,3.413756076325593,4.454545162958567
CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC,2460,3.781,4.664,3.407,4.104667,-0.3740000000000001,-0.5593329999999996,0.131,0.000131,-0.130869,3.2734647286359086,4.526095877986442,3.2234337378404647,4.527380053986285
C1=CC=C(C=C1)CCC(CC(=O)O)N,2733736,5.084,5.063,3.7447,5.295125,-1.3392999999999997,0.23212499999999991,0.0002,0.001303,0.0011029999999999998,3.932643324970211,5.263986057014085,4.222938031520739,4.8492573532964105
CCCCCCOC(=O)OCC,6421510,7.237,7.224,6.4617,6.917109,-0.7752999999999997,-0.30689100000000025,0.0015,1.2e-05,-0.001488,6.386789373539502,6.960172345139604,5.8630042014618855,6.520950719387077
COC1=CC=C(C=C1)C(=CC2=CC=CC=N2)C#N,6164010,2.846,3.43,2.0903,3.376659,-0.7557,-0.05334100000000008,0.2578,0.673927,0.4161270000000001,2.1169178567609865,3.090302078314073,2.509313835211405,3.5664166941798094
CCCCCCCCCCCCCC(=O)C,61303,4.404,4.407,3.6868,4.289248,-0.7172000000000001,-0.1177520000000003,0.0,0.000119,0.000119,3.643856636973707,4.179431430116861,3.701155093350213,4.330655238894144
C1=CC=C(C=C1)COC(=O)NCC(=O)O,14349,5.043,5.051,3.7247,5.289891,-1.3183000000000002,0.23889099999999974,0.0011,0.002351,0.0012509999999999997,3.921266881599378,5.13065822799777,4.19278782277971,4.841765971250851
C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)Cl,13694,3.509,3.958,2.6794,3.901352,-0.8296000000000001,-0.05664800000000003,0.0007,0.001838,0.0011380000000000001,2.798252646848008,3.7581343559911544,3.013610033685023,3.9826748470744597
CC1=CC=CC=C1C(=O)C2=CC=CC=C2,67230,3.623,3.612,2.985,3.564542,-0.6380000000000003,-0.04745800000000022,0.0017,0.001157,-0.0005429999999999999,2.899658566752869,3.432010712701941,3.105643189529217,3.718246802063678
CCCCCC1=C(C=C(C=C1)C)O,14759,4.304,4.64,3.6517,4.916966,-0.6523000000000003,0.2769660000000007,0.0418,0.068472,0.026672000000000008,3.7016877360338505,4.922080635099963,3.6254892607085036,4.517109358936491
C1=CC=C(C=C1)C=NC2=CC3=CC=CC=C3C=C2,300779,2.961,3.411,2.4014,3.390809,-0.5595999999999997,-0.02019100000000007,0.2553,0.308571,0.05327099999999996,2.412030883460157,3.326163382165168,2.6051704291658866,3.5682606364355913
C1=CC(=C(C(=C1)F)O)F,94392,4.331,4.806,3.7092,5.209769,-0.6218000000000004,0.4037689999999996,0.0338,0.012606,-0.021193999999999998,3.835205805285829,5.116445311398821,3.647260845921549,4.647496582852478
C1=CC=C(C=C1)C(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O,221020,4.0,4.025,3.2228,3.547488,-0.7772000000000001,-0.4775120000000004,0.005,0.011449,0.006449000000000001,3.0000700806471046,3.761443430134513,3.397454037218126,4.045048609348134
C(C(C(=O)O)N)C(=O)O,5960,5.603,5.617,4.9133,5.433748,-0.6897000000000002,-0.18325200000000041,0.0115,0.001575,-0.009925,4.7755524228543305,5.363049319564166,4.619812674087942,5.281280617290751
CC(C)C1=CC=C(C=C1)C(=O)O,10820,4.393,4.757,3.4782,4.736132,-0.9147999999999996,-0.02086800000000011,0.012,0.020834,0.008833999999999998,3.533616991246555,4.801091029320166,3.691102695684282,4.602211132212377
CNC1=NC=NC2=C1NC=N2,67955,3.521,4.503,3.57,4.747014,0.04899999999999993,0.24401399999999995,0.2847,0.099584,-0.185116,3.637445073847146,4.722139034740129,3.0235701016165035,4.404138954195449
C1CC2=C(C=CC3=C2C1=CC=C3)C4=CN=CC=C4,11586681,3.29,4.139,2.6075,3.917097,-0.6825000000000001,-0.22190300000000018,0.0077,0.110467,0.102767,2.6041209842036745,3.8972978627803103,2.8450546239766683,4.124511572363357
CCCN1CCC(=CC1)C2=CC=CC=C2,146272,3.96,4.797,3.0647,4.127414,-0.8952999999999998,-0.6695859999999998,0.0008,0.000905,0.00010499999999999995,3.1540514166528375,4.511554576506332,3.3596329557400755,4.6334036011914215
C1=CC=C(C=C1)NO,7518,4.174,4.66,3.6052,4.811319,-0.5688000000000004,0.15131899999999998,0.0328,0.020062,-0.012738000000000003,3.9645210808825517,4.959184702265971,3.530136758874613,4.538143662767457
CCCCCCOC1=CC=CC=C1C(=O)N,3316,3.9,4.424,3.5031,4.578755,-0.39690000000000003,0.15475499999999975,0.0961,6e-06,-0.096094,3.526100747204154,4.674231290787953,3.320050977067701,4.352543696007783
C1=CC=C2C(=C1)C(=CC=N2)CC#N,257387,3.561,4.315,2.782,4.219568,-0.7789999999999999,-0.09543200000000063,0.0372,0.002415,-0.034784999999999996,2.783147495717336,4.271944221988804,3.0624473648933903,4.26803571841588
C1C(C(OC1N2C=CC(=NC2=O)N)CO)O,13711,3.6,4.474,3.4463,4.595143,-0.15370000000000017,0.121143,0.2282,0.103663,-0.12453699999999998,3.359873020873103,4.5689843036856965,3.084971600849429,4.383190839605007
C(=S)(N)NNN,19792658,3.922,4.205,4.598,5.389612,0.6759999999999997,1.1846119999999996,0.0065,0.004171,-0.0023289999999999995,4.487631083011444,5.0891046507996345,3.331479367975209,4.176231041253231
CCCC(=CCO)C,5284494,5.082,5.778,3.9124,5.905765,-1.1696,0.12776500000000013,0.0268,0.023019,-0.0037809999999999996,4.143353885921298,5.67360201447829,4.220772516130725,5.405674769858223
C1=CC(=C(C=C1O)C=O)O,70949,2.695,3.587,2.7168,3.583717,0.021800000000000264,-0.003283000000000147,0.1645,7.4e-05,-0.16442600000000002,2.673485044542238,3.6309643075374916,2.4011498785745333,3.70191876462972
B(C1=C(C(=C(C=C1)F)F)F)(O)O,2783280,4.763,4.871,3.6511,5.140355,-1.1118999999999999,0.2693549999999991,0.0039,0.005146,0.0012460000000000006,3.7397702860374666,5.04467109544698,3.973450576751412,4.688578932008927
COC(=O)C1=CSC=C1C(=O)O,13899778,4.083,4.843,3.2769,4.563186,-0.8061000000000003,-0.279814,0.0469,1.8e-05,-0.046882,3.4200200239387986,4.6944116772052435,3.454090647566642,4.666774252856106
C1=CN(C=N1)C(=O)N,265301,4.248,5.212,3.6106,5.03082,-0.6374000000000004,-0.18117999999999945,0.1258,0.045684,-0.08011599999999999,3.560995616243286,5.0615392269695265,3.5801024363496174,4.957025466849
C1=CC2=C3C(=C1)C(=O)C4=CC=CC5=C4C3=C(C=C2)C=C5,18310,2.639,3.238,2.0724,3.075288,-0.5665999999999998,-0.16271199999999997,0.0,0.0,0.0,2.1756597653868246,3.0902746133678467,2.3596311396636525,3.4339213541654448
CC(=C)C(=O)OCC(C(F)(F)F)(F)F,123516,4.298,5.375,3.335,4.956654,-0.9630000000000001,-0.41834599999999966,0.0028,0.000312,-0.0024879999999999998,3.455738842254756,4.9673023481059975,3.6190388207258795,5.0956680466138184
CCOC(=O)C1=C(C(=C(N1)C)C=O)C,137486,3.662,4.119,3.3127,3.940219,-0.34929999999999994,-0.17878099999999986,0.0001,0.000254,0.000154,3.4357571575936428,3.9943258570626847,3.138558477946229,4.1154581475366845
CCC(C(C)C(=O)O)C(=O)O,13074836,5.937,5.94,4.9502,5.480337,-0.9868000000000006,-0.4596630000000008,0.0052,0.001289,-0.0039109999999999995,5.093452094286528,5.6472785222559265,4.8746026802572775,5.534643837314371
CCC1C(C(CC=C1C2=CC=CC=C2)C(=O)O)C,24371,4.321,4.879,3.2601,4.904242,-1.0608999999999997,0.02524200000000043,0.0001,0.027194,0.027094,3.3639268306288153,4.8758750451464685,3.6385734705945403,4.704396526583156
C1=CC(=CC(=C1)Cl)CCC(=O)O,177164,5.011,4.996,3.6536,5.126194,-1.3574000000000002,0.13019399999999948,0.0004,0.004594,0.004194,3.7027782790419765,5.120814313409257,4.169638460086618,4.796081039615206
CCCCCCCCCCCCCCCCCl,20993,7.89,7.893,6.2846,6.93895,-1.6053999999999995,-0.9540499999999996,0.0001,0.002838,0.002738,6.841670919250488,7.2023119641443225,6.368122743224445,7.047700700169413
C1CCC(CC1)N(C2CCCCC2)SC3=NC4=CC=CC=C4S3,21080,3.801,4.354,3.2411,4.314227,-0.5599000000000003,-0.03977300000000028,0.2441,0.045725,-0.19837500000000002,3.381268092548175,4.062970938110342,3.2434012036162483,4.295714354447053
CC1=CN=C(C=C1)N,15348,3.838,4.584,3.5321,4.526809,-0.3059000000000003,-0.05719099999999955,0.1167,0.060589,-0.056111,3.3739840911808634,4.335844638094184,3.2739218480896732,4.4791275618857735
CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,8345,4.454,4.646,3.4264,4.645729,-1.0275999999999996,-0.00027099999999968816,0.0145,0.038098,0.023598,3.4653111679663797,4.509082782821229,3.7377993565078307,4.515652030795531
