SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_ML_S1fL,xtb_Lin_T1,xtb_Lin_S1,xtb_Lin_S1fL
CCCN(CCC)C1CC2=CC=CC=C2OC1,10105405,4.237,4.621,3.6542,4.699144,-0.5828000000000002,0.07814399999999999,0.0473,0.037436,-0.009864000000000005,3.765749806603821,4.6690460534216545,0.032528858584468384,3.571681727020781,4.496156737683629,0.04133362246203477
C[N+](CCCl)(CCCl)[O-],9335,3.434,3.454,4.7529,4.848322,1.3189000000000002,1.3943219999999994,0.0141,0.005822,-0.008278,4.7306587465231535,4.837854967651568,0.014788326938274641,2.9558855783054496,3.5877261755517855,0.028394377481539192
CC1=NN=C(N1C2=CC=CC=C2)C3=CC=CC=N3,71351276,3.989,4.789,3.1814,4.362861,-0.8075999999999999,-0.42613900000000005,0.1448,0.001192,-0.143608,3.279819502724967,4.571051968546716,0.06621966318813433,3.385435399385081,4.63658843028106,0.08417816504940961
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,8497,3.772,4.022,2.8309,3.743083,-0.9410999999999996,-0.2789170000000003,0.001,6.7e-05,-0.000933,2.9872028954958485,3.848361168816963,-0.033150274255190175,3.216030457216061,4.032827059331307,0.02293343995127322
C1=CC=C2C(=C1)C=CC3=C2C(=CC=C3)N,159820,3.012,3.668,2.6261,3.671861,-0.3858999999999999,0.0038609999999996703,0.1634,0.062758,-0.100642,2.7077177807074424,3.628756543459068,0.09554456223911575,2.636098759100628,3.7517564669787893,0.09126909952128225
C1=CC2=C3C(=C1)C(=O)C(=O)C3=CC=C2,6724,1.958,1.958,1.8527,2.346065,-0.10529999999999995,0.3880649999999999,0.0002,8e-06,-0.000192,1.8153974143307252,2.1515852149265884,-0.006022604039605666,1.8403384186977478,2.439965970894999,0.019404388088637977
C1=CC=C(C=C1)C2=C3C=CC=C(C3=NC=C2)N,108726,2.62,3.429,2.3373,3.209929,-0.2827000000000002,-0.21907100000000002,0.2539,0.07891,-0.17499000000000003,2.1446790994283793,3.2727312592902065,0.1431244161234419,2.3439568641454986,3.5791006772250196,0.1326886517577549
COC1=CC(=C(C=C1)OC)C=O,66726,2.666,3.456,2.6378,3.574714,-0.028200000000000003,0.11871400000000021,0.1528,9.5e-05,-0.15270499999999998,2.5261598551157807,3.572992955898695,0.07555869178938493,2.3647871552186155,3.5892934321848116,0.08621361682870642
CC(=O)C=CC1=CC(=C(C=C1)O)OC,5354238,2.632,3.724,3.5627,4.131187,0.9306999999999999,0.4071869999999995,0.0037,6.9e-05,-0.003631,2.262922611242058,3.6712811507246066,0.026836611835958694,2.345868210438551,3.795365825284432,0.022507286537895518
CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,7050,2.549,3.531,2.5663,3.657054,0.017300000000000093,0.1260539999999999,0.6394,0.412847,-0.22655299999999995,2.6349872050938408,3.7120748929619425,0.446465637636063,2.291002145703401,3.6614439536171957,0.30367896560713004
CCC1=CC(=CC=C1)CC,8864,4.998,4.965,3.6988,5.198873,-1.2992000000000004,0.233873,0.0004,0.001098,0.000698,3.6605385320131187,5.164444174391425,0.02163209127299712,4.161790593507305,4.772752537058739,0.02107337847956206
C1=CC=C(C=C1)CC2=CC=C(C=C2)N=C=O,3014044,4.365,4.808,3.4308,4.860282,-0.9342000000000001,0.05228199999999994,0.0075,0.0494,0.0419,3.3648236763846846,4.875967977368304,0.143226808331533,3.6775287537629713,4.650844013171156,0.02413607688984433
CC1=CC=C(C=C1)NC2=CC=CC=C2,12109,3.455,4.158,3.1435,4.138106,-0.3115000000000001,-0.019894000000000744,0.1391,0.086713,-0.052387,3.2197432214934283,4.188156657179387,0.07200884265090693,2.9720484258117303,4.139400510377108,0.08050256002224507
