xtb_T1,xtb_S1
2.5660000000000003,3.5460000000000003
7.263999999999999,7.265
3.6310000000000002,4.356
4.137,4.717
4.13,4.623
3.5660000000000003,3.9139999999999997
3.388,4.144
3.34,3.783
3.2119999999999997,3.69
3.338,4.0760000000000005
3.9360000000000004,4.51
3.34,4.077
3.367,3.938
1.565,1.686
5.4510000000000005,5.809
0.6940000000000001,0.6940000000000001
5.027,5.06
5.192,5.192
5.087,5.149
1.827,1.827
4.29,4.7780000000000005
4.102,4.106
4.104,4.235
3.992,4.288
3.8789999999999996,4.346
4.053,4.237
3.807,4.178
3.653,4.218999999999999
4.772,4.772
4.859,4.859
1.7009999999999998,2.055
3.363,3.363
4.7010000000000005,4.715
5.653,5.678999999999999
5.636,5.6579999999999995
5.557,5.683
3.279,4.22
5.039,5.08
3.286,4.198
4.258,4.551
3.263,3.537
2.9389999999999996,3.735
3.0839999999999996,3.68
3.406,3.3989999999999996
3.937,3.9589999999999996
3.196,3.675
2.013,3.0869999999999997
2.0,3.267
4.982,5.059
4.383,4.6930000000000005
5.019,5.045
3.6,3.6
3.466,3.9819999999999998
5.257000000000001,5.263
5.397,5.44
4.212,4.212
5.2410000000000005,5.247000000000001
4.306,4.306
5.471,5.489
4.664,4.685
5.181,5.193
5.232,5.236000000000001
5.216,5.228
5.251,5.261
5.244,5.252999999999999
5.272,5.277
5.346,5.355
5.331,5.355
5.276,5.282
5.3870000000000005,5.398
2.633,4.115
4.825,4.815
3.9619999999999997,4.649
4.226,4.401
3.9010000000000002,4.529
3.841,4.147
5.026,5.336
4.824,4.812
4.226,4.546
3.998,4.696000000000001
4.7860000000000005,4.781000000000001
4.051,4.382
2.923,2.923
3.8569999999999998,3.858
3.883,4.041
4.294,4.294
3.734,3.9539999999999997
4.72,5.153
4.684,5.082
4.791,5.341
4.811,5.178999999999999
4.698,5.088
4.7669999999999995,5.263999999999999
4.864,5.251
4.811,5.272
6.433,6.441
4.975,4.996
5.083,5.0969999999999995
5.1739999999999995,5.193
3.529,3.529
4.993,5.007
5.112,5.129
5.19,5.204
5.251,5.269
5.204,5.224
3.71,4.5489999999999995
3.6660000000000004,4.468999999999999
2.734,2.736
3.702,4.538
3.682,4.482
2.759,3.8739999999999997
2.508,3.612
2.645,3.588
2.6710000000000003,3.653
2.7039999999999997,3.647
3.14,3.781
6.112,6.115
4.7010000000000005,4.803999999999999
4.914,4.953
4.9639999999999995,4.926
4.812,4.743
3.92,4.666
4.974,5.031000000000001
3.71,4.593999999999999
2.9810000000000003,4.085
5.928999999999999,5.938
2.379,2.843
3.225,3.2260000000000004
2.428,2.541
2.642,3.2560000000000002
3.7710000000000004,4.652
5.388999999999999,6.406000000000001
5.39,6.255
5.4,6.593999999999999
3.278,3.634
3.5989999999999998,5.627999999999999
4.827,5.582999999999999
3.498,5.206
3.555,5.52
3.156,4.5569999999999995
3.64,5.667999999999999
1.591,3.016
3.2510000000000003,4.067
2.83,3.765
3.508,4.206
2.805,3.71
3.22,4.0489999999999995
3.102,3.969
3.04,4.115
2.873,3.819
3.8819999999999997,4.4510000000000005
3.503,3.503
3.8089999999999997,4.473
3.535,3.5860000000000003
3.7760000000000002,3.7760000000000002
3.8680000000000003,4.072
3.7760000000000002,3.7760000000000002
4.218,4.765
3.615,4.2589999999999995
3.698,4.526
3.734,4.319
3.844,4.346
3.6630000000000003,4.379
4.665,4.95
4.148,4.148
4.15,4.128
4.101,4.178999999999999
4.095,4.13
4.047,4.476
4.0969999999999995,4.453
2.7,3.8139999999999996
2.977,3.747
2.8339999999999996,3.926
1.331,1.456
2.476,3.341
3.846,4.36
3.008,3.9960000000000004
2.262,3.424
3.5580000000000003,3.947
4.195,4.746
3.662,4.288
3.602,4.5169999999999995
3.6489999999999996,4.343
3.8739999999999997,4.6530000000000005
3.602,4.449
3.907,4.657
3.9210000000000003,4.688
3.062,3.927
3.263,3.852
2.1319999999999997,3.2960000000000003
1.9369999999999998,3.0610000000000004
3.173,3.775
3.495,3.9330000000000003
2.347,3.5
3.513,4.18
3.185,4.029
3.589,4.022
3.412,4.336
3.545,4.029
3.7680000000000002,4.6530000000000005
4.84,5.087
3.387,4.349
3.205,3.822
3.217,3.82
3.1689999999999996,3.838
2.8080000000000003,3.784
2.6839999999999997,3.698
3.364,4.163
2.336,3.4930000000000003
2.9389999999999996,3.926
3.457,4.374
2.948,3.9010000000000002
3.528,4.08
3.509,4.003
3.408,4.296
3.4210000000000003,4.316
3.14,3.9
3.1060000000000003,3.895
2.892,3.798
3.513,3.86
3.0780000000000003,3.918
3.0389999999999997,3.6889999999999996
2.7739999999999996,3.785
2.9560000000000004,3.833
1.725,1.725
3.133,3.862
2.471,3.242
3.049,3.832
2.908,2.908
6.8020000000000005,6.806
6.684,6.695
6.426,6.433
6.746,6.757000000000001
6.926,6.935
7.395,7.4079999999999995
7.395,7.407
4.309,4.311
4.284,4.287
1.413,1.413
4.133,4.136
4.321000000000001,4.322
2.725,3.3510000000000004
3.214,3.622
1.426,1.4409999999999998
2.39,3.075
4.578,4.578
4.559,4.559
2.841,3.813
3.509,4.027
3.484,3.99
